VerticalDisplacement, Energy
-1.6279,  38.8662
-1.6329,  40.8068
-1.6379,  42.7987
-1.6429,  44.8420
-1.6479,  46.9371
-1.6529,  49.0843
-1.6579,  51.2836
-1.6629,  53.5354
-1.6679,  55.8399
-1.6729,  58.1973
-1.6779,  60.6079
-1.6829,  63.0717
-1.6879,  65.5892
-1.6929,  68.1604
-1.6979,  70.7857
-1.7029,  73.4651
-1.7079,  76.1990
-1.7129,  78.9875
-1.7179,  81.8308
-1.7229,  84.7291
-1.7279,  87.6827
-1.7329,  90.6916
-1.7379,  93.7562
-1.7429,  96.8766
-1.7479, 100.0529
-1.7529, 103.2855
-1.7579, 106.5744
-1.7629, 109.9198
-1.7679, 113.3220
-1.7729, 116.7810
-1.7779, 120.2972
-1.7829, 123.8706
-1.7879, 127.5014
-1.7929, 131.1898
-1.7979, 134.9360
-1.8029, 138.7401
-1.8079, 142.6023
-1.8129, 146.5227
-1.8179, 150.5016
-1.8229, 154.5390
-1.8279, 158.6352
-1.8329, 162.7903
-1.8379, 167.0044
-1.8429, 171.2777
-1.8479, 175.6103
-1.8529, 180.0024
-1.8579, 184.4542
-1.8629, 188.9657
-1.8679, 193.5372
-1.8729, 198.1687
-1.8779, 202.8604
-1.8829, 207.6125
-1.8879, 212.4251
-1.8929, 217.2982
-1.8979, 222.2322
-1.9029, 227.2270
-1.9079, 232.2828
-1.9129, 237.3997
-1.9179, 242.5780
-1.9229, 247.8176
-1.9279, 253.1187
-1.9329, 258.4815
-1.9379, 263.9061
-1.9429, 269.3926
-1.9479, 274.9410
-1.9529, 280.5516
-1.9579, 286.2244
-1.9629, 291.9596
-1.9679, 297.7572
-1.9729, 303.6175
-1.9779, 309.5404
-1.9829, 315.5262
-1.9879, 321.5748
-1.9929, 327.6865
-1.9979, 333.8613
-2.0029, 340.0994
-2.0079, 346.4008
-2.0129, 352.7656
-2.0179, 359.1940
-2.0229, 365.6860
-2.0279, 372.2418
-2.0329, 378.8614
-2.0379, 385.5450
-2.0429, 392.2926
-2.0479, 399.1044
-2.0529, 405.9804
-2.0579, 412.9207
-2.0629, 419.9254
-2.0679, 426.9947
-2.0729, 434.1285
-2.0779, 441.3271
-2.0829, 448.5904
-2.0879, 455.9186
-2.0929, 463.3117
-2.0979, 470.7699
-2.1029, 478.2932
-2.1079, 485.8818
-2.1129, 493.5356
-2.1179, 501.2548
