VerticalDisplacement, HorizontalForceInternal, HorizontalForceExternal, VerticalForceInternal, VerticalForceExternal
-0.2079,   0.0000,  -0.0000, -232.5925,  -0.0000
-0.2129,   0.0000,  -0.0000, -235.9694,  -0.0000
-0.2179,   0.0000,  -0.0000, -239.2299,  -0.0000
-0.2229,   0.0000,  -0.0000, -242.3734,  -0.0000
-0.2279,   0.0000,  -0.0000, -245.3990,  -0.0000
-0.2329,   0.0000,  -0.0000, -248.3061,  -0.0000
-0.2379,   0.0000,  -0.0000, -251.0939,  -0.0000
-0.2429,   0.0000,  -0.0000, -253.7618,  -0.0000
-0.2479,   0.0000,  -0.0000, -256.3091,  -0.0000
-0.2529,   0.0000,  -0.0000, -258.7351,  -0.0000
-0.2579,   0.0000,  -0.0000, -261.0393,  -0.0000
-0.2629,   0.0000,  -0.0000, -263.2210,  -0.0000
-0.2679,   0.0000,  -0.0000, -265.2796,  -0.0000
-0.2729,   0.0000,  -0.0000, -267.2145,  -0.0000
-0.2779,   0.0000,  -0.0000, -269.0253,  -0.0000
-0.2829,   0.0000,  -0.0000, -270.7115,  -0.0000
-0.2879,   0.0000,  -0.0000, -272.2724,  -0.0000
-0.2929,   0.0000,  -0.0000, -273.7077,  -0.0000
-0.2979,   0.0000,  -0.0000, -275.0169,  -0.0000
-0.3029,   0.0000,  -0.0000, -276.1997,  -0.0000
-0.3079,   0.0000,  -0.0000, -277.2555,  -0.0000
-0.3129,   0.0000,  -0.0000, -278.1842,  -0.0000
-0.3179,   0.0000,  -0.0000, -278.9853,  -0.0000
-0.3229,   0.0000,  -0.0000, -279.6587,  -0.0000
-0.3279,   0.0000,  -0.0000, -280.2039,  -0.0000
-0.3329,   0.0000,  -0.0000, -280.6209,  -0.0000
-0.3379,   0.0000,  -0.0000, -280.9095,  -0.0000
-0.3429,   0.0000,  -0.0000, -281.0694,  -0.0000
-0.3479,   0.0000,  -0.0000, -281.1006,  -0.0000
-0.3529,   0.0000,  -0.0000, -281.0031,  -0.0000
-0.3579,   0.0000,  -0.0000, -280.7768,  -0.0000
-0.3629,   0.0000,  -0.0000, -280.4217,  -0.0000
