VerticalDisplacement, HorizontalForceInternal, HorizontalForceExternal, VerticalForceInternal, VerticalForceExternal
-0.9879,   0.0000,  -0.0000, 264.8194,   9.8000
-0.9929,   0.0000,  -0.0000, 266.7876,   9.8000
-0.9979,   0.0000,  -0.0000, 268.6313,   9.8000
-1.0029,   0.0000,  -0.0000, 270.3497,   9.8000
-1.0079,   0.0000,  -0.0000, 271.9423,   9.8000
-1.0129,   0.0000,  -0.0000, 273.4087,   9.8000
-1.0179,   0.0000,  -0.0000, 274.7483,   9.8000
-1.0229,   0.0000,  -0.0000, 275.9607,   9.8000
-1.0279,   0.0000,  -0.0000, 277.0455,   9.8000
-1.0329,   0.0000,  -0.0000, 278.0025,   9.8000
-1.0379,   0.0000,  -0.0000, 278.8314,   9.8000
-1.0429,   0.0000,  -0.0000, 279.5319,   9.8000
-1.0479,   0.0000,  -0.0000, 280.1039,   9.8000
-1.0529,   0.0000,  -0.0000, 280.5473,   9.8000
-1.0579,   0.0000,  -0.0000, 280.8619,   9.8000
-1.0629,   0.0000,  -0.0000, 281.0477,   9.8000
-1.0679,   0.0000,  -0.0000, 281.1047,   9.8000
-1.0729,   0.0000,  -0.0000, 281.0330,   9.8000
-1.0779,   0.0000,  -0.0000, 280.8326,   9.8000
-1.0829,   0.0000,  -0.0000, 280.5036,   9.8000
-1.0879,   0.0000,  -0.0000, 280.0462,   9.8000
-1.0929,   0.0000,  -0.0000, 279.4607,   9.8000
-1.0979,   0.0000,  -0.0000, 278.7471,   9.8000
-1.1029,   0.0000,  -0.0000, 277.9058,   9.8000
-1.1079,   0.0000,  -0.0000, 276.9371,   9.8000
-1.1129,   0.0000,  -0.0000, 275.8413,   9.8000
-1.1179,   0.0000,  -0.0000, 274.6187,   9.8000
-1.1229,   0.0000,  -0.0000, 273.2698,   9.8000
-1.1279,   0.0000,  -0.0000, 271.7949,   9.8000
-1.1329,   0.0000,  -0.0000, 270.1945,   9.8000
-1.1379,   0.0000,  -0.0000, 268.4691,   9.8000
-1.1429,   0.0000,  -0.0000, 266.6192,   9.8000
-1.1479,   0.0000,  -0.0000, 264.6453,   9.8000
-1.1529,   0.0000,  -0.0000, 262.5479,   9.8000
-1.1579,   0.0000,  -0.0000, 260.3276,   9.8000
-1.1629,   0.0000,  -0.0000, 257.9851,   9.8000
-1.1679,   0.0000,  -0.0000, 255.5208,   9.8000
-1.1729,   0.0000,  -0.0000, 252.9355,   9.8000
-1.1779,   0.0000,  -0.0000, 250.2298,   9.8000
-1.1829,   0.0000,  -0.0000, 247.4044,   9.8000
-1.1879,   0.0000,  -0.0000, 244.4600,   9.8000
-1.1929,   0.0000,  -0.0000, 241.3972,   9.8000
-1.1979,   0.0000,  -0.0000, 238.2168,   9.8000
-1.2029,   0.0000,  -0.0000, 234.9196,   9.8000
-1.2079,   0.0000,  -0.0000, 231.5063,   9.8000
-1.2129,   0.0000,  -0.0000, 227.9776,   9.8000
-1.2179,   0.0000,  -0.0000, 224.3343,   9.8000
-1.2229,   0.0000,  -0.0000, 220.5773,   9.8000
-1.2279,   0.0000,  -0.0000, 216.7072,   9.8000
-1.2329,   0.0000,  -0.0000, 212.7251,   9.8000
-1.2379,   0.0000,  -0.0000, 208.6315,   9.8000
-1.2429,   0.0000,  -0.0000, 204.4275,   9.8000
-1.2479,   0.0000,  -0.0000, 200.1138,   9.8000
-1.2529,   0.0000,  -0.0000, 195.6912,   9.8000
-1.2579,   0.0000,  -0.0000, 191.1607,   9.8000
-1.2629,   0.0000,  -0.0000, 186.5230,   9.8000
-1.2679,   0.0000,  -0.0000, 181.7791,   9.8000
-1.2729,   0.0000,  -0.0000, 176.9299,   9.8000
-1.2779,   0.0000,  -0.0000, 171.9761,   9.8000
-1.2829,   0.0000,  -0.0000, 166.9187,   9.8000
-1.2879,   0.0000,  -0.0000, 161.7586,   9.8000
-1.2929,   0.0000,  -0.0000, 156.4966,   9.8000
-1.2979,   0.0000,  -0.0000, 151.1337,   9.8000
-1.3029,   0.0000,  -0.0000, 145.6707,   9.8000
-1.3079,   0.0000,  -0.0000, 140.1085,   9.8000
-1.3129,   0.0000,  -0.0000, 134.4481,   9.8000
-1.3179,   0.0000,  -0.0000, 128.6903,   9.8000
-1.3229,   0.0000,  -0.0000, 122.8360,   9.8000
-1.3279,   0.0000,  -0.0000, 116.8861,   9.8000
-1.3329,   0.0000,  -0.0000, 110.8416,   9.8000
-1.3379,   0.0000,  -0.0000, 104.7032,   9.8000
-1.3429,   0.0000,  -0.0000,  98.4720,   9.8000
-1.3479,   0.0000,  -0.0000,  92.1488,   9.8000
-1.3529,   0.0000,  -0.0000,  85.7344,   9.8000
-1.3579,   0.0000,  -0.0000,  79.2299,   9.8000
